PolicyNo,PolicyHolderID,PolicyHolderName,InsuredID,InsuredName,InsuredDOB,PXIllness,Status,EffectiveDate,ExpiryDate,PremiumAmount,RiderPremiumAmount,OutstandingPremium,RiderOutstandingPremium,ProductCode,EntryDate,CommencementDate,ReinstatementDate,RiderEntryDate,RiderCommencementDate,RiderReinstatementDate,AllowAutoClaim,PolicyYearLimit,PolicyYearBalance,LifetimeLimit,LifetimeBalance,Rider,RiderPrdtCode
20269659,S3510313E,Emmalee Ball,S7558563T,Theodore Livingston,8/12/1959,,1,11/1/2019,10/31/2020,85.05,0,0,0,IFEB,11/1/2009,11/1/2009,,,,,Y,150000,150000,10000000,10000000,N,
20269678,S9459452J,Joseph Murphy,S1428245H,Hector Holmes,10/13/1991,,1,11/1/2019,10/31/2020,56.07,56.07,0,-9.35,PEB,11/1/2009,11/1/2009,,11/1/2009,11/1/2009,,Y,150000,150000,10000000,10000000,Y,PEBD
20269683,S9189711K,Krystal Gamble,S4699070R,Ricky Heath,2/19/2002,,1,11/1/2019,10/31/2020,48.6,92.52,0,0,PBB,11/1/2009,11/1/2009,,11/1/2009,11/1/2009,,Y,100000,100000,8999999488,8999999488,Y,PCRIC
20269684,S1698689R,Ramon Ruiz,S3994639D,David Simon,5/22/1957,,1,11/1/2019,10/31/2020,48.6,0,0,0,PBB,11/1/2009,11/1/2009,,,,,Y,100000,100000,8999999488,8999999488,N,
20269685,S8924349K,Kaleb Roberson,S9467072J,Jaydin Pruitt,6/13/1958,,1,11/1/2019,10/31/2020,52.34,92.52,0,0,PBB,11/1/2009,11/1/2009,,11/1/2009,11/1/2009,,Y,100000,100000,8999999488,8999999488,Y,PCRIC
20269686,S7177962A,Augustus Davidson,S5304268M,Marcos Stewart,1/20/1970,,1,11/1/2019,10/31/2020,52.34,92.52,0,0,PBB,11/1/2009,11/1/2009,,11/1/2009,11/1/2009,,Y,100000,100000,8999999488,8999999488,Y,PCRIC
20269687,S8162022R,Romeo Solis,S2482555D,Dayami West,12/12/1960,,1,11/1/2019,10/31/2020,65.42,0,0,0,PEB,11/1/2009,11/1/2009,,,,,Y,150000,150000,10000000,10000000,N,
20269689,S8968528S,Steven Terrell,S3190059V,Valery Collins,7/8/2008,,1,11/1/2019,10/31/2020,71.96,92.52,0,0,PEB,11/1/2009,11/1/2009,,11/1/2009,11/1/2009,,Y,150000,150000,10000000,10000000,Y,PCRIC
20269690,S6974337G,Gary Montoya,S2488928G,Giuliana Harvey,11/21/1953,,1,11/1/2019,10/31/2020,71.96,0,0,0,IPEB,11/1/2009,11/1/2009,,,,,Y,150000,150000,10000000,10000000,N,
20269691,S2078996G,Gloria Gallegos,S2723649Y,Yuliana Serrano,10/4/1985,,1,11/1/2019,10/31/2020,85.05,92.52,0,0,IFEB,11/1/2009,11/1/2009,,11/1/2009,11/1/2009,,Y,150000,150000,10000000,10000000,Y,PCRIC
20269692,S0859639K,Kayden Summers,S4818708K,Kendrick Watson,3/6/1989,,1,11/1/2019,10/31/2020,85.05,92.52,0,0,IFEB,11/1/2009,11/1/2009,,11/1/2009,11/1/2009,,Y,150000,150000,10000000,10000000,Y,PCRIC
20269700,S4536708E,Elliot Mata,S6977887B,Bailey Stephens,8/23/1974,,1,11/1/2019,10/31/2020,122.43,0,0,0,PEP,11/1/2009,11/1/2009,,,,,Y,500000,500000,10000000,10000000,N,
20269712,S7269401E,Edith Gibson,S2174257M,Maren Craig,8/28/1955,,1,10/1/2019,9/30/2020,65.42,92.52,0,0,PEB,10/1/2009,10/1/2010,,10/1/2010,10/1/2010,,Y,150000,150000,10000000,10000000,Y,PCRIC
20269729,S0973304R,Rafael Wiggins,S5948898K,Kianna Cochran,4/18/1968,,1,11/1/2019,10/31/2020,82.24,0,0,0,PAA,11/1/2009,11/1/2009,,,,,Y,130000,130000,8999999488,8999999488,N,
20269739,S4236408M,Malachi Hamilton,S2280020M,Melany Weber,7/15/1960,,1,11/1/2019,10/31/2020,122.43,0,0,0,PEP,11/1/2009,11/1/2009,,,,,Y,500000,500000,10000000,10000000,N,
20269740,S8032312C,Carina Gill,S3262560J,Jaime Santiago,9/30/2011,,1,11/1/2019,10/31/2020,122.43,0,0,0,PEP,11/1/2009,11/1/2009,,,,,Y,500000,500000,10000000,10000000,N,
20269846,S3650339M,Markus Bray,S8828561A,Alison Sanders,4/1/1971,,1,11/1/2019,10/31/2020,30.84,92.52,0,0,PEB,11/1/2009,11/1/2009,,11/1/2009,11/1/2009,,Y,150000,150000,10000000,10000000,Y,PCRIC
20476537,S1801717D,Demarion Munoz,S3098436J,Jaxon Ayala,11/29/1998,,1,12/1/2019,11/30/2020,767.29,294.39,0,0,PEA,12/1/2009,12/1/2010,,12/1/2009,12/1/2010,,Y,250000,250000,10000000,10000000,Y,PEAD
20476999,S0241406S,Santos Benjamin,S0241406S,Santos Benjamin,11/15/2002,,1,12/1/2019,11/30/2020,82.24,73.83,0,0,PAA,12/1/2009,12/1/2010,,12/1/2009,12/1/2010,,Y,130000,130000,8999999488,8999999488,Y,PAAD
20480158,S9890260E,Elyse Perkins,S3364648A,Aria Rowland,8/26/2003,,1,1/1/2020,12/31/2020,65.42,65.42,0,0,PEB,1/1/2010,1/1/2010,,1/1/2010,1/1/2010,,Y,150000,150000,10000000,10000000,Y,PEBD
20480256,S5843454F,Franklin Wade,S7553034D,Davis Hooper,8/25/1995,,1,2/1/2020,1/31/2021,44.86,41.12,0,0,PCC,2/1/2010,2/1/2010,,2/1/2010,2/1/2010,,Y,70000,70000,350000,350000,Y,PCCD
20481416,S3003372M,Marcel Mendoza,S4789231P,Patricia Kent,4/26/1953,,1,12/1/2019,11/30/2020,88.79,93.46,0,0,PEA,6/1/2010,6/1/2010,,6/1/2010,6/1/2010,,Y,250000,250000,10000000,10000000,Y,PEAD
20482519,S0315745K,Karlee Cuevas,S7335530K,Kendall Strong,7/19/1957,,1,7/1/2019,6/30/2020,122.43,103.74,0,0,PEP,7/1/2010,7/1/2010,,7/1/2010,7/1/2010,,Y,500000,500000,10000000,10000000,Y,PEPD
20482577,S3974675B,Beatrice Bernard,S5196352K,Kaiya Mitchell,10/6/1977,,1,11/1/2019,10/31/2020,145.79,100.93,0,100.93,PEA,11/1/2010,11/1/2012,,11/1/2010,11/1/2012,,Y,400000,400000,10000000,10000000,Y,PEAD
20482611,S0071553K,Kaylie Garcia,S0071553K,Kaylie Garcia,3/15/2002,,1,11/1/2019,10/31/2020,88.79,100.93,0,0,PEA,6/1/2009,11/1/2009,,11/1/2009,11/1/2009,,Y,250000,250000,10000000,10000000,Y,PEAD
20483223,S1222969D,Daniella Meadows,S1126772W,Warren Turner,10/10/1999,,1,9/1/2019,8/31/2020,52.34,51.4,52.34,51.4,PEC,9/1/2009,9/1/2009,,9/1/2009,9/1/2009,,Y,100000,100000,10000000,10000000,Y,PECD
20483303,S9470314K,Kenny Smith,S9232933J,Jacey Reese,4/13/1978,,1,12/1/2019,11/30/2020,194.39,0,0,0,PEP,12/1/2009,12/1/2009,,,,,Y,500000,500000,10000000,10000000,N,
20483305,S1708328K,Kristina Carey,S0590157C,Cooper Mcconnell,1/12/2006,,1,12/1/2019,11/30/2020,82.24,92.52,0,0,PAA,12/1/2009,12/1/2010,,4/1/2010,12/1/2010,,Y,130000,130000,8999999488,8999999488,Y,PCRIC
20483306,S1724916S,Skyla Booker,S1724916S,Skyla Booker,5/30/1953,,1,12/1/2019,11/30/2020,233.64,0,0,0,IFEB,6/1/2009,6/1/2009,,,,,Y,150000,150000,10000000,10000000,N,
20483308,S7131551K,Kasen Morton,S8347868S,Skyler Donaldson,10/28/1990,,1,10/1/2019,9/30/2020,88.79,92.52,0,0,PEA,10/1/2009,10/1/2009,,10/1/2009,10/1/2009,,Y,250000,250000,10000000,10000000,Y,PCRIC
20483415,S7180002J,Jazlene Perez,S2432617J,Jairo Manning,12/29/1951,,1,1/1/2020,12/31/2020,171.03,99.07,0,0,PBB,1/1/2010,1/1/2012,,7/1/2010,1/1/2012,,Y,100000,100000,8999999488,8999999488,Y,PBBD
20483437,S1328142L,Lilian Nixon,S7224497M,Molly Williamson,5/22/1965,,1,1/1/2020,12/31/2020,122.43,161.68,0,0,PEP,1/1/2011,1/1/2012,,1/1/2011,1/1/2012,,Y,600000,600000,10000000,10000000,Y,PEPR
20483601,S0230791K,Kasey Boyd,S9955027G,Gracie Hayden,12/29/1956,,1,12/1/2019,11/30/2020,122.43,92.52,0,0,PEP,8/1/2009,12/1/2009,,8/1/2009,12/1/2009,,Y,250000,250000,10000000,10000000,Y,PCRIC
20483794,S7772607K,Kali Nichols,S7772607K,Kali Nichols,9/29/2002,,1,1/1/2020,12/31/2020,213.83,123.36,0,0,PEP,1/1/2011,1/1/2012,,1/1/2011,1/1/2012,,Y,600000,600000,10000000,10000000,Y,PEPD
20484278,S5359047M,Muhammad Lynch,S7752810L,Lyla Higgins,10/31/2000,,1,1/1/2020,12/31/2020,431.78,172.9,0,0,PAA,1/1/2011,1/1/2012,,1/1/2011,1/1/2012,,Y,130000,130000,8999999488,8999999488,Y,PAAD
20484413,S2761298E,Elyse Ho,S9040192D,Dixie Holden,12/17/1981,,1,1/1/2020,12/31/2020,58.88,98.13,0,0,PEB,1/1/2011,1/1/2011,,1/1/2011,1/1/2011,,Y,150000,150000,10000000,10000000,Y,PEBD
20484428,S8575226K,Kaliyah Zamora,S4810637D,Damon Mcneil,4/14/1957,,1,1/1/2020,12/31/2020,117.76,79.16,0,0,PEB,1/1/2011,1/1/2011,,1/1/2011,1/1/2011,,Y,150000,150000,10000000,10000000,Y,PEBD
20484581,S8458869B,Brenna Everett,S8458869B,Brenna Everett,6/25/1954,Congenital heart disease,1,4/1/2020,3/31/2021,194.39,112.15,0,0,PEP,4/1/2011,4/1/2011,,4/1/2011,4/1/2011,,Y,600000,600000,10000000,10000000,Y,PEPD
20484837,S6950026R,Riley Dawson,S3200295L,Litzy Gallegos,7/15/1950,Congenital heart disease,1,4/1/2020,3/31/2021,834.83,526.14,0,0,PEA,4/1/2009,4/1/2009,,4/1/2009,4/1/2009,,Y,400000,400000,10000000,10000000,Y,PEAD
20484979,S1445100A,August Payne,S1445100A,August Payne,3/7/2003,,1,4/1/2020,3/31/2021,541.12,207.48,0,0,PEB,4/1/2011,4/1/2011,,4/1/2011,4/1/2011,,Y,150000,150000,10000000,10000000,Y,PEBD
20485024,S7318378L,Lailah Rodriguez,S1526538K,Kaleb Hogan,6/7/1958,,1,4/1/2020,3/31/2021,193.46,123.36,0,0,PEB,4/1/2011,4/1/2011,,4/1/2011,4/1/2011,,Y,150000,150000,10000000,10000000,Y,PEBD
20485066,S1275628C,Clayton Hanna,S1866634K,Kaelyn Keller,7/9/1960,,1,4/1/2020,3/31/2021,95.33,93.46,0,0,PEA,4/1/2011,4/1/2013,,4/1/2011,4/1/2013,,Y,400000,400000,10000000,10000000,Y,PEAD
20485067,S1260621T,Tripp Sutton,S4066484C,Cristopher Frank,4/16/1977,,1,4/1/2020,3/31/2021,2475.7,800.93,0,0,PEB,4/1/2011,4/1/2013,,4/1/2011,4/1/2013,,Y,150000,150000,10000000,10000000,Y,PEBD
20485631,S7749908B,Brisa Nelson,S2050943D,Dalia Perry,11/29/1990,,1,12/1/2019,11/30/2020,851.4,294.39,0,0,PEA,6/1/2011,6/1/2012,,6/1/2011,6/1/2012,,Y,400000,400000,10000000,10000000,Y,PEAD
20485669,S0521399K,Keon Valentine,S0521399K,Keon Valentine,9/16/2008,,1,12/1/2019,11/30/2020,145.79,100.93,0,100.93,PEA,6/1/2011,6/1/2012,,6/1/2011,6/1/2012,,Y,400000,400000,10000000,10000000,Y,PEAD
20487203,S4763460A,Alessandro Stafford,S0891873C,Clarissa Hart,11/16/1992,,1,9/1/2019,8/31/2020,691.59,0,0,0,PAA,9/1/2011,9/1/2012,,,,,Y,130000,130000,8999999488,8999999488,N,
20487211,S5196627A,Adan Doyle,S5253505D,Diya Baker,3/25/1988,,1,9/1/2019,8/31/2020,522.43,0,0,0,PPP,9/1/2011,9/1/2012,,,,,Y,260000,260000,8999999488,8999999488,N,
20487282,S2131497S,Shayla Green,S9040308L,Landon Warren,7/4/2012,,1,9/1/2019,8/31/2020,52.34,0,0,0,PEC,9/1/2011,9/1/2012,,,,,Y,100000,100000,10000000,10000000,N,
20487289,S0940172K,Kaylee Bennett,S0274722J,Jasper Clayton,12/10/1955,,1,9/1/2019,8/31/2020,65.42,0,0,0,PEB,9/1/2011,9/1/2012,,,,,Y,150000,150000,10000000,10000000,N,
20487311,S4770927H,Hazel Mccann,S7190089C,Colt Preston,1/19/1984,,1,9/1/2019,8/31/2020,145.79,148.6,0,0,PEA,9/1/2011,9/1/2012,,9/1/2011,9/1/2012,,Y,400000,400000,10000000,10000000,Y,PEAR
20487312,S5209511D,Dakota Lucas,S0438866S,Summer Odom,6/28/1974,,1,9/1/2019,8/31/2020,82.24,92.52,0,0,PAA,9/1/2011,9/1/2012,,9/1/2012,9/1/2012,,Y,130000,130000,10000000,10000000,Y,PCRIC
20487339,S8639775Z,Zaniyah Frazier,S8662725R,Reilly Montoya,4/14/1970,,1,9/1/2019,8/31/2020,48.6,0,0,0,PBB,9/1/2011,9/1/2012,,,,,Y,100000,100000,8999999488,8999999488,N,
20487431,S3573761P,Paisley Burke,S3676374W,Whitney Raymond,12/5/1977,,1,8/1/2019,7/31/2020,99.07,0,0,0,PEB,8/1/2011,8/1/2012,,,,,Y,150000,150000,10000000,10000000,N,
20487831,S0526141D,Dana Hale,S1166674R,Raegan Kirk,10/24/1964,,1,1/1/2020,12/31/2020,85.98,0,0,0,IPBB,1/1/2009,1/1/2011,,,,,Y,100000,100000,8999999488,8999999488,N,
20487832,S1297963A,Armani Gross,S1297963A,Armani Gross,3/25/2004,,1,1/1/2020,12/31/2020,99.07,0,0,0,PEB,1/1/2009,1/1/2011,,,,,Y,150000,150000,10000000,10000000,N,
20487834,S0223544E,Eileen Barber,S1466011S,Skyler Campbell,10/22/1984,,1,1/1/2020,12/31/2020,124.3,80.37,0,0,PAA,1/1/2009,1/1/2011,,1/1/2009,1/1/2011,,Y,130000,130000,8999999488,8999999488,Y,PAAD
20487838,S0476421W,Will Coffey,S7373422A,Ashlyn Ballard,5/1/1961,,1,1/1/2020,12/31/2020,99.07,71.96,0,0,PEB,1/1/2009,1/1/2011,,1/1/2009,1/1/2011,,Y,150000,150000,10000000,10000000,Y,PEBD
20487839,S7283102K,Kasey Moyer,S7931770A,Alyvia Gaines,3/6/1966,,1,1/1/2020,12/31/2020,58.88,51.4,0,0,PEC,1/1/2009,1/1/2011,,1/1/2009,1/1/2011,,Y,100000,100000,10000000,10000000,Y,PECD
20487840,S9274491K,Kaiden Lawrence,S0364889Z,Zane Cobb,11/15/1996,,1,1/1/2020,12/31/2020,80.37,74.77,0,0,PBB,1/1/2009,1/1/2011,,1/1/2009,1/1/2011,,Y,100000,100000,8999999488,8999999488,Y,PBBR
20487841,S5181501J,Jace Crosby,S9789080K,Keegan Lawrence,11/26/2007,Chronic renal disease,1,1/1/2020,12/31/2020,68.22,53.27,0,0,PCC,1/1/2009,1/1/2011,,1/1/2009,1/1/2011,,Y,70000,70000,350000,350000,Y,PCCR
20487842,S0781618K,Kelvin Mendoza,S0781618K,Kelvin Mendoza,12/13/1970,,1,1/1/2020,12/31/2020,145.79,148.6,0,0,PEA,1/1/2009,1/1/2011,,1/1/2009,1/1/2011,,Y,400000,400000,10000000,10000000,Y,PEAR
20487845,S1026678K,Kayleigh Schultz,S4248423E,Elsa Zavala,12/12/2008,,1,1/1/2020,12/31/2020,171.03,0,0,0,PPP,1/1/2009,1/1/2011,,,,,Y,260000,260000,8999999488,8999999488,N,
20487846,S4172470L,Lilah Hayden,S1353889P,Prince Finley,12/26/1989,,1,1/1/2020,12/31/2020,85.98,0,0,0,IPBB,1/1/2009,1/1/2011,,,,,Y,100000,100000,8999999488,8999999488,N,
20487848,S4896066I,Iyana Middleton,S0158684L,Lorelai Craig,1/27/1973,,1,1/1/2020,12/31/2020,84.11,0,0,0,PEC,1/1/2009,1/1/2011,,,,,Y,100000,100000,10000000,10000000,N,
20487849,S5096990J,Jacob Bautista,S8176456M,Miguel Contreras,5/9/2009,,1,1/1/2020,12/31/2020,94.39,0,0,0,IPEC,1/1/2009,1/1/2011,,,,,Y,100000,100000,10000000,10000000,N,
20487850,S5650701K,Kayden Walton,S5650701K,Kayden Walton,8/21/1985,,1,7/1/2019,6/30/2020,63.55,43.93,0,0,PCC,7/1/2009,7/1/2009,,7/1/2009,7/1/2009,,Y,70000,70000,350000,350000,Y,PCCD
20487852,S2669459T,Tristan Hunter,S4990136D,Drake Colon,2/11/1950,,1,7/1/2019,6/30/2020,85.98,57.94,0,0,PBB,7/1/2009,7/1/2011,,7/1/2009,7/1/2011,,Y,100000,100000,8999999488,8999999488,Y,PBBD
20487853,S8165036L,Lorelai French,S8165036L,Lorelai French,7/28/1971,,1,7/1/2019,6/30/2020,94.39,54.21,0,0,PEC,7/1/2009,7/1/2009,,7/1/2009,7/1/2009,,Y,100000,100000,10000000,10000000,Y,PECD
20487854,S7110511C,Caroline Boone,S4632781A,Avery Valdez,7/11/1993,,1,7/1/2019,6/30/2020,80.37,74.77,0,0,PBB,7/1/2009,7/1/2009,,7/1/2009,7/1/2009,,Y,100000,100000,8999999488,8999999488,Y,PBBR
20487885,S6816567J,Jazmyn Herman,S1292331M,Michelle Gonzales,12/24/1974,,1,10/1/2019,9/30/2020,41.12,50.47,0,0,PCC,10/1/2011,10/1/2012,,10/1/2012,10/1/2012,,Y,70000,70000,350000,350000,Y,PCCR
20487893,S9821553T,Taliyah Huerta,S8060108A,Anastasia Ritter,4/6/2008,,1,10/1/2019,9/30/2020,95.33,92.52,0,0,PEA,10/1/2011,10/1/2012,,10/1/2012,10/1/2012,,Y,400000,400000,10000000,10000000,Y,PCRIC
20487905,S3703835J,Jaxson Mack,S5380736D,Derrick Berger,6/24/1974,,1,10/1/2019,9/30/2020,48.6,0,0,0,PBB,10/1/2010,10/1/2011,,,,,Y,100000,100000,8999999488,8999999488,N,
20487914,S9343537D,Dennis Harding,S8045081K,Kaitlin Olson,7/20/1961,,1,10/1/2019,9/30/2020,95.33,0,0,0,PEA,10/1/2011,10/1/2012,,,,,Y,400000,400000,10000000,10000000,N,
20487945,S2332554K,Kylan Leonard,S6406421W,Wyatt Greene,4/4/1998,,1,10/1/2019,9/30/2020,169.16,0,0,0,PEC,10/1/2010,10/1/2010,,,,,Y,100000,100000,10000000,10000000,N,
20488043,S2082935M,Maci Cordova,S7649346D,Darren Landry,9/24/1964,,1,10/1/2019,9/30/2020,145.79,148.6,0,0,PEA,10/1/2011,10/1/2011,,10/1/2011,10/1/2011,,Y,400000,400000,10000000,10000000,Y,PEAR
20488134,S5797303D,Demarion Butler,S4155355A,Anthony Powell,10/19/2006,,1,1/1/2020,12/31/2020,52.34,43.69,0,0,PEC,1/1/2012,1/1/2013,,1/1/2012,1/1/2013,,Y,100000,100000,10000000,10000000,Y,PECD
20488137,S4845023S,Sharon Mcclain,S0630842D,Darren Zavala,11/22/1997,Chronic renal disease,1,11/1/2019,10/31/2020,94.39,46.07,0,0,PEC,11/1/2011,11/1/2012,,11/1/2011,11/1/2012,,Y,100000,100000,10000000,10000000,Y,PECD
20488397,S7372639M,Mckenzie Torres,S9370486F,Fernando Gray,2/2/1955,,1,11/1/2019,10/31/2020,128.97,100.93,0,0,PEA,7/1/2009,11/1/2011,,7/1/2009,11/1/2011,,Y,600000,600000,10000000,10000000,Y,PEAD
20543436,S4226149K,Kianna Haney,S4226149K,Kianna Haney,9/1/1959,,1,1/1/2020,12/31/2020,111.87,72.34,0,0,PAA,1/1/2012,1/1/2012,,1/1/2012,1/1/2012,,Y,130000,130000,8999999488,8999999488,Y,PAAD
20543437,S5381019C,Charlotte Villanueva,S4767249S,Samson Montoya,1/22/1983,,1,12/1/2019,11/30/2020,171.03,0,0,0,PPP,12/1/2011,12/1/2011,,,,,Y,260000,260000,8999999488,8999999488,N,
20543468,S5394531M,Mayra Melton,S1020542A,Allyson Bartlett,5/7/1958,,1,2/1/2020,1/31/2021,82.24,73.83,0,0,PAA,2/1/2012,2/1/2013,,2/1/2013,2/1/2013,,Y,130000,130000,8999999488,8999999488,Y,PAAD
20543470,S4312180K,Killian Calhoun,S0247867S,Simone Guerrero,7/4/1956,,1,1/1/2020,12/31/2020,124.3,80.37,0,0,PAA,1/1/2012,1/1/2013,,1/1/2012,1/1/2013,,Y,130000,130000,8999999488,8999999488,Y,PAAD
20543475,S1903324F,Franco Stout,S5610790R,Rodrigo Murray,6/22/1957,,1,1/1/2020,12/31/2020,317.76,152.34,0,0,PEB,1/1/2012,1/1/2013,,1/1/2012,1/1/2013,,Y,150000,150000,10000000,10000000,Y,PEBD
20543477,S0821224S,Sophie Robinson,S4204275P,Paulina Sims,11/2/1967,,1,3/1/2020,2/28/2021,95.33,137.38,0,0,PEA,3/1/2012,3/1/2013,,3/1/2013,3/1/2013,,Y,400000,400000,10000000,10000000,Y,PEAR
20543713,S4543508R,Reese Barton,S3501974E,Eve Pugh,10/11/1952,,1,4/1/2020,3/31/2021,132.71,161.68,0,0,PEP,4/1/2012,4/1/2013,,7/1/2012,4/1/2013,,Y,600000,600000,10000000,10000000,Y,PEPR
20543716,S6691593E,Ean Townsend,S8292821R,Rylee Holloway,5/1/1974,,1,4/1/2020,3/31/2021,65.42,89.72,0,0,PEB,4/1/2012,4/1/2013,,7/1/2012,4/1/2013,,Y,150000,150000,10000000,10000000,Y,PEBR
20543773,S7640379G,Grant Walton,S2673440C,Cristal Gaines,5/5/1999,Chronic renal disease,1,3/1/2020,2/28/2021,97.94,82.99,0,0,PEP,3/1/2013,3/1/2013,,3/1/2013,3/1/2013,,Y,600000,600000,10000000,10000000,Y,PEPD
20543791,S1794246A,Angelo Acosta,S8352283F,Frank Riddle,10/7/1995,,1,1/1/2020,12/31/2020,52.34,71.78,0,0,PEB,1/1/2012,1/1/2012,,1/1/2012,1/1/2012,,Y,150000,150000,10000000,10000000,Y,PEBR
20543825,S8630367F,Fisher Brown,S5516899D,Destiny Calhoun,10/31/1966,,1,4/1/2020,3/31/2021,90.56,130.51,0,0,PEA,4/1/2012,4/1/2013,,4/1/2012,4/1/2013,,Y,400000,400000,10000000,10000000,Y,PEAR
20543870,S4973429B,Brendon Powers,S4973429B,Brendon Powers,10/19/1960,,1,1/1/2020,12/31/2020,41.12,0,0,0,PCC,1/1/2012,1/1/2012,,,,,Y,70000,70000,350000,350000,N,
20643958,S6956995T,Tristian Lindsey,S4564544K,Kelsey Yates,6/29/1953,,1,4/1/2020,3/31/2021,482.99,205.98,0,0,PEA,4/1/2012,4/1/2013,,4/1/2012,4/1/2013,,Y,400000,400000,10000000,10000000,Y,PEAD
20643967,S2668998N,Norah Acosta,S2884873L,Laura Ayers,1/4/1999,,1,4/1/2020,3/31/2021,138.5,0,0,0,PEA,4/1/2012,4/1/2013,,,,,Y,400000,400000,10000000,10000000,N,
20643969,S8315421S,Sarahi Adams,S8787574M,Marcel Roth,9/1/1992,,1,4/1/2020,3/31/2021,194.39,174.77,0,0,PEP,4/1/2012,4/1/2013,,4/1/2012,4/1/2013,,Y,600000,600000,10000000,10000000,Y,PEPR
20643992,S6414611A,Andy Juarez,S0858459A,Amira Mora,5/3/1952,,1,1/1/2020,12/31/2020,385.05,136.07,0,0,PEP,1/1/2012,1/1/2013,,1/1/2012,1/1/2013,,Y,600000,600000,10000000,10000000,Y,PEPD
20644267,S4463337A,Alisha Best,S5520557C,Cassidy Yoder,8/4/1961,Fibrosis or cirrhosis of liver,1,4/1/2020,3/31/2021,95.33,92.52,0,0,PEA,4/1/2012,4/1/2013,,4/1/2012,4/1/2013,,Y,400000,400000,10000000,10000000,Y,PCRIC
20644443,S6891751M,Mia Le,S9121695K,Kaelyn Mcknight,12/1/2000,,1,1/1/2020,12/31/2020,160.75,0,0,0,PBB,1/1/2012,1/1/2013,,,,,Y,100000,100000,8999999488,8999999488,N,
20644495,S9027311B,Bryce Mccall,S9027311B,Bryce Mccall,12/1/1977,,1,1/1/2020,12/31/2020,263.55,93.46,0,0,PCC,1/1/2012,1/1/2013,,1/1/2012,1/1/2013,,Y,70000,70000,8999999488,8999999488,Y,PCCD
20644533,S9672040G,Gretchen Burton,S9504621J,Johnathon Dean,10/12/2000,,1,4/1/2020,3/31/2021,90.56,88.79,0,0,PEA,4/1/2012,4/1/2013,,4/1/2012,4/1/2013,,Y,400000,400000,10000000,10000000,Y,PEAD
20644534,S6110730K,Kierra Velazquez,S9078531C,Carolyn Wolf,3/17/1992,,1,4/1/2020,3/31/2021,88.79,93.46,0,0,PEA,4/1/2012,4/1/2013,,4/1/2012,4/1/2013,,Y,400000,400000,10000000,10000000,Y,PEAD
20644536,S0005850C,Case Johns,S2348001C,Corey Horn,9/6/2008,,1,4/1/2020,3/31/2021,62.15,62.15,0,0,PEB,4/1/2012,4/1/2013,,4/1/2012,4/1/2013,,Y,150000,150000,10000000,10000000,Y,PEBD
20644669,S0678175D,Dwayne Choi,S9346290L,Landyn Riddle,11/6/1988,,1,1/1/2020,12/31/2020,132.71,92.52,0,0,PEP,1/1/2012,1/1/2013,,1/1/2013,1/1/2013,,Y,600000,600000,10000000,10000000,Y,PCRIC
20644817,S9418571Q,Quintin Steele,S7112506L,Lesly Salazar,3/7/1968,,1,3/1/2020,2/28/2021,48.6,78.5,0,0,PBB,2/1/2013,3/1/2014,,2/1/2013,3/1/2014,,Y,100000,100000,8999999488,8999999488,Y,PBBD
20744840,S0594164A,Aaron Taylor,S4694792B,Brianna Byrd,4/18/1988,,1,2/1/2020,1/31/2021,291.59,0,0,0,PEP,2/1/2012,2/1/2014,,,,,Y,600000,600000,10000000,10000000,N,
20744999,S3094453J,Jorge Vega,S4576169L,Landon Bradshaw,1/3/1959,,1,3/1/2020,2/28/2021,100.93,74.77,0,0,PEB,3/1/2013,3/1/2013,,3/1/2013,3/1/2013,,Y,150000,150000,10000000,10000000,Y,PEBD
20745465,S8486275B,Brenden Combs,S8747726R,Ryker Hoover,1/18/2008,,1,4/1/2020,3/31/2021,690.2,386.01,0,0,PEP,11/1/2011,4/1/2012,,11/1/2011,4/1/2012,,Y,150000,150000,10000000,10000000,Y,PEPR
20745474,S4815123K,Kaia Parsons,S6135756U,Urijah Juarez,5/10/1957,,1,5/1/2020,4/30/2021,539.25,155.14,0,0,PEC,5/1/2012,5/1/2012,,5/1/2012,5/1/2012,,Y,70000,70000,350000,350000,Y,PECD
20745477,S9840595L,Luis Daniel,S9871751B,Breanna Costa,7/1/2004,,1,5/1/2020,4/30/2021,121.5,0,0,0,IFEB,5/1/2012,5/1/2012,,,,,Y,100000,100000,10000000,10000000,N,
20745602,S6769299D,Dillan Wyatt,S6769299D,Dillan Wyatt,7/10/2008,,1,7/1/2019,6/30/2020,170.47,87.9,0,0,PEP,7/1/2012,7/1/2013,,7/1/2012,7/1/2013,,Y,700000,700000,10000000,10000000,Y,PCRIC
20745665,S6938189S,Samir Myers,S2601118B,Benjamin Williamson,3/8/1951,,1,7/1/2019,6/30/2020,95.33,93.46,95.33,93.46,PEA,7/1/2012,7/1/2013,,7/1/2012,7/1/2013,,Y,400000,400000,10000000,10000000,Y,PEAD
20745721,S5740420B,Brenton Tyler,S1105423R,Rylie Crane,3/18/1972,,1,10/1/2019,9/30/2020,88.79,93.46,88.79,93.46,PEA,10/1/2012,10/1/2012,,10/1/2012,10/1/2012,,Y,400000,400000,10000000,10000000,Y,PEAD
